data;
set N:= 0 1 2 3 4 5 6 7 8 ;
set C:= 1 2 3 4 5 6 7 ;
param G:= 100000;
param c:
0 1 2 3 4 5 6 7 8 :=
0 0 0 0 0 0 0 0 0 1000000
1 -1 0 100 200 75 0 300 100 0
2 -1 400 0 500 325 400 600 0 0
3 -1 700 800 0 550 700 900 800 0
4 -1 -1 250 225 0 275 525 250 0
5 -1 -1 100 200 -1 0 -1 -1 0
6 -1 -1 1100 1200 1075 1000 0 1100 0
7 -1 -1 0 500 325 400 600 0 0
8 -1 -1 -1 -1 -1 -1 -1 -1 0
;
param p:
0 1 2 3 4 5 6 7 8 :=
0 0 1 1 1 1 1 1 1 1
1 0 0 0 0 1 1 1 1 1
2 0 0 0 0 0 0 0 0 1
3 0 0 0 0 0 0 0 0 1
4 0 0 0 0 0 1 0 0 1
5 0 0 0 0 0 0 0 0 1
6 0 0 0 0 0 1 0 0 1
7 0 0 0 0 0 1 0 0 1
8 0 0 0 0 0 0 0 0 0
;
end;

