data;
set NODES:=0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 ;
set ARCS:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 ;
param INF:= 100000;
param c:
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 :=
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1000000
1 -1 0 650 300 425 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 -1 -1 0 100 450 400 800 200 400 800 100 200 400 0 0 0 0 0 0 0 800 100 200 100 800 0 0 0 0 0 0 0 0 0 100 800 100 800 200 325 400 400 100 400 800 100 200 0 0 0 0 0 0 0 0 0 200 200 800 200 280 200 800 400 800 200 100 440 100 800 800 100 400 200 380 100 400 200 800 0
3 -1 -1 500 0 500 700 500 100 700 500 800 600 700 500 100 800 500 700 300 700 0 0 0 0 0 600 800 500 500 100 800 500 450 700 0 0 0 0 0 0 0 0 800 700 500 800 600 700 800 500 500 800 500 460 800 500 0 0 0 0 0 0 0 0 500 100 800 400 800 500 500 800 700 100 360 800 700 100 500 0
4 -1 -1 500 475 0 425 500 350 425 500 475 275 425 500 350 475 500 425 325 425 500 475 350 475 500 275 475 500 500 350 475 500 325 425 475 500 475 500 350 275 425 425 0 0 0 0 0 425 475 500 500 475 500 345 475 500 350 350 500 350 300 350 500 425 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 -1 -1 -1 500 525 0 500 400 600 500 500 500 600 500 400 500 500 600 450 600 500 500 400 500 500 0 0 0 500 400 500 500 500 600 500 500 500 500 400 450 600 600 500 600 500 500 500 0 0 0 500 500 500 500 500 500 400 400 500 400 430 400 500 600 500 400 500 490 500 500 500 500 600 400 480 500 600 400 500 0
6 -1 -1 -1 100 450 400 0 200 400 800 100 200 400 800 200 100 800 400 500 400 800 100 200 100 800 200 100 800 0 200 100 800 550 400 100 800 100 800 200 325 400 400 100 400 800 100 200 400 100 800 0 100 800 600 100 800 200 200 800 200 280 200 800 400 800 200 100 440 100 800 800 100 400 200 380 100 400 200 800 0
