data;
set N:= 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 ;
set C:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 ;
param G:= 100000;
param c:
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 :=
0 0 3 5 48 48 8 8 5 5 3 3 0 3 5 8 8 5 1000000 
1 -1 0 3 48 -1 -1 8 5 5 0 0 3 0 3 8 -1 5 3 
2 -1 3 0 72 -1 48 48 24 24 3 3 5 3 0 48 -1 24 5 
3 -1 48 74 0 0 6 6 12 -1 48 48 48 48 74 6 6 12 48 
4 -1 48 74 0 0 6 6 12 12 48 48 48 48 74 6 6 12 48 
5 -1 8 50 6 6 0 0 8 8 8 8 8 8 50 0 0 8 8 
6 -1 8 50 6 6 0 0 8 8 8 8 8 8 50 0 0 8 8 
7 -1 5 26 12 12 -1 8 0 0 5 5 5 -1 26 8 8 0 5 
8 -1 5 26 12 12 8 8 0 0 5 5 5 5 26 8 8 0 5 
9 -1 0 3 48 -1 8 8 5 5 0 0 3 0 3 8 8 5 3 
10 -1 0 3 48 48 8 8 5 5 0 0 3 0 3 8 8 5 3 
11 -1 3 5 48 48 8 8 5 5 3 3 0 3 5 8 8 5 0 
12 -1 0 3 48 48 -1 8 5 5 0 0 3 0 3 8 8 5 3 
13 -1 3 0 72 -1 48 48 24 24 3 3 5 3 0 48 48 24 5 
14 -1 8 50 6 6 -1 0 -1 8 8 8 8 -1 50 0 0 8 8 
15 -1 8 50 6 -1 0 0 8 8 8 8 8 8 50 0 0 8 8 
16 -1 5 26 12 12 8 8 0 0 5 5 5 5 26 8 8 0 5 
17 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 
;
param p:
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 :=
0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
4 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 
5 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 
8 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
12 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
15 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
;
